Zarah Sultana,Labour,TRUE,"Proudly serving the people of Coventry South as their Labour Member of Parliament
  For constituent casework: zarah.sultana.mp@parliament.uk"
Yvonne Fovargue,Labour,TRUE,Labour MP for Makerfield. Constituent Email. yvonne.fovargue.mp@parliament.uk
Yvette Cooper,Labour,TRUE,"Labour MP for Normanton, Pontefract, Castleford & Knottingley. For constituency casework pls contact coopery@parliament.uk"
Yasmin Qureshi,Labour,FALSE,"Member of Parliament for Bolton South East. 
 Shadow International Development Minister. 
 Chair of 
 @APPGHPTs
  
 @AppgUyghurs
  
 @APPGreligion
  
 @appghajjumrah"
William Wragg,Conservative,FALSE,"MP for the Hazel Grove constituency. 
 @CommonsPACAC
  chairman. For advice & queries please email william@williamwragg.org.uk or telephone 0161 427 0660"
William Cash,Conservative,TRUE,Conservative MP for Stone
Will Quince,Conservative,FALSE,"Member of Parliament for Colchester and 
 @DWP
  Minister. Sadly I cannot respond to all tweets but please email will.quince.mp@parliament.uk"
Wes Streeting,Labour,TRUE,Labour MP for Ilford North. Shadow Minister for Schools. Re-tweets ≠ endorsements. For casework or enquiries e-mail: wes@redbridgelabour.org.uk.
Wera Hobhouse,Liberal Democrat,TRUE,"Bath's Liberal Democrat MP, re-elected in 2019. Please contact me at office@werahobhouse.co.uk. I do not do casework on Twitter."
Wendy Morton,Conservative,FALSE,"MP for Aldridge-Brownhills. Minister at the Foreign, Commonwealth & Development Office. For constituents with casework pls email Wendy.morton.mp@parliament.uk"
Wendy Chamberlain,Liberal Democrat,TRUE,"@scotlibdems
  MP for North East Fife. 
 @libdems
  Chief Whip Westminster Own views/RTs not endorsements For casework please email Wendy.Chamberlain.MP@Parliament.uk"
Wayne David,Labour,TRUE,"Labour Member of Parliament for Caerphilly. Shadow Foreign, Commonwealth and Development Minister for the Middle East and North Africa."
Virendra Sharma,Labour,TRUE,"Labour MP, Serving Ealing Southall - uniting the community. 
 @EalingLabour
 . I do not accept cases on Twitter, please email me on sharmav@parliament.uk."
Victoria Prentis,Conservative,TRUE,"Member of Parliament for North Oxfordshire. Parliamentary Under Secretary of State 
 @DefraGovUK
 . 
 @conservatives
  
  Victoria.prentis.mp@parliament.UK #StayAlert"
Vicky Foxcroft,Labour,TRUE,"Labour MP for Lewisham Deptford & Shadow Minister for Disabled People. For enquiries/assistance, pls email vicky.foxcroft.mp@parliament.uk or call 020 8469 4638"
Vicky Ford,Conservative,FALSE,"MP for Chelmsford, Children’s Minister. 
 Tech, Investment, Science, WomenMPs, the NHS"
Valerie Vaz,Labour,FALSE,"Member of Parliament, Walsall South; Shadow Leader of the House; contact valerie.vaz.mp@parliament.uk"
Tulip Siddiq,Labour,TRUE,Labour MP for my home seat of Hampstead and Kilburn and Shadow Minister for Children and Early Years. Casework/Questions? Email: tulip@tulipsiddiq.com
Tracy Brabin,Labour,TRUE,Labour and Co-operative MP for Batley & Spen and Shadow Minister for the Cultural Industries. Standing for West Yorkshire Mayor http://tracy4mayor.org.uk
