"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Zarah Sultana","@zarahsultana","Labour","Coventry South",94190,33
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",12629,-3
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",300484,65
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",21463,5
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",12770,-3
"William Cash ","@BillCashMP","Conservative","Stone",19550,-8
"Will Quince ","@willquince","Conservative","Colchester",16067,7
"Wes Streeting ","@wesstreeting","Labour","Ilford North",68128,40
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",20025,4
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",12438,16
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",4979,0
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",13556,0
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",18923,1
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",11339,6
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",18895,11
"Vicky Ford","@vickyford","Conservative","Chelmsford",18492,8
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",6407,5
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",151753,34
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",52863,7
"Tracey Crouch ","@tracey_crouch","Conservative","Chatham and Aylesford",35480,108
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",8849,-5
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",13803,-3
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",34651,4
"Tom Tugendhat ","@TomTugendhat","Conservative","Tonbridge and Malling",54036,49
"Tom Randall","@Tom_Randall","Conservative","Gedling",3088,8
"Tom Pursglove ","@VotePursglove","Conservative","Corby",12648,-1
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",8426,3
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",26361,-6
"Tobias Ellwood","@Tobias_Ellwood","Conservative","Bournemouth East",58144,-6
"Tim Loughton ","@timloughton","Conservative","East Worthing and Shoreham",19456,-3
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",285564,-29
"Theresa May ","@theresa_may","Conservative","Maidenhead",993027,367
"Theo Clarke","@theodoraclarke","Conservative","Stafford",6899,2
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",26921,-1
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",64320,112
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",16516,-6
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",2392,-1
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",3567,6
"Suella Fernandes ","@SuellaBraverman","Conservative","Fareham",29689,2
"Stuart Paul Anderson","@Stuart4WolvesSW","Conservative","Wolverhampton South West",5670,10
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",12595,-1
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",18984,5
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",32807,-1
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",28210,4
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",3128,4
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",98174,161
"Steve Reed ","@SteveReedMP","Labour","Croydon North",33452,9
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",17850,-4
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14434,8
"Steve Brine","@BrineMP","Conservative","Winchester",10554,-5
"Stephen Timms ","@stephenctimms","Labour","East Ham",16949,-1
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",12053,-1
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",6716,3
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",9981,6
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",33883,-9
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",19346,0
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",4561,2
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",11261,-6
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",33243,2
"Stephen Crabb ","@SCrabbPembs","Conservative","Preseli Pembrokeshire",22907,2
"Stephen Barclay ","@SteveBarclay","Conservative","North East Cambridgeshire",32193,3
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",9238,-1
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",142062,-13
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",9467,4
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",19700,2
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",5399,-2
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",15360,3
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",9224,-1
"Simon Fell","@simonfell","Conservative","Barrow and Furness",3440,-1
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",16134,7
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",3863,-1
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",18107,-2
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",3057,0
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",34234,-7
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",4239,1
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",21722,0
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",3554,3
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",24460,-2
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",8274,9
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",3887,6
"Sarah Owen","@SarahOwen_","Labour","Luton North",14982,-1
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",15391,8
"Sarah Jones","@LabourSJ","Labour","Croydon Central",18734,1
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1072,0
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",47250,-13
"Sarah Atherton","@AthertonNWales","Conservative","Wrexham",6185,3
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",3907,8
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",6762,0
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",19094,8
"Sam Tarry","@SamTarry","Labour","Ilford South",20401,-1
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",2606,7
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",210802,67
"Ruth Jones","@RuthNewportWest","Labour","Newport West",5464,3
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",3583,3
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",21875,-10
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",42065,7
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",6857,-4
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",32530,3
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",12858,-1
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",12804,6
"Roger Gale","@SirRogerGale","Conservative","North Thanet",5268,3
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",14259,2
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",2662,0
"Robert Syms ","@RobertSyms","Conservative","Poole",10271,1
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",16602,4
"Robert Largan","@robertlargan","Conservative","High Peak",5538,6
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",46570,41
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",33826,6
"Robert Courts ","@robertcourts","Conservative","Witney",8651,5
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",27343,-9
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",3759,6
"Rob Roberts","@RobDelyn","Conservative","Delyn",5671,5
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1041,1
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",428827,582
"Richard Holden","@RicHolden","Conservative","North West Durham",7426,2
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",12081,-8
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",2550,5
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",118380,31
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1363,-2
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",18862,-1
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",12671,11
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",178886,31
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",6492,1
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",1980,5
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",95937,101
"Rachel Maclean","@redditchrachel","Conservative","Redditch",10105,6
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",6541,-3
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",27593,-11
"Priti Patel ","@pritipatel","Conservative","Witham",291754,131
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",25936,7
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",10971,8
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",20967,2
"Peter Kyle ","@peterkyle","Labour","Hove",38118,-11
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16739,5
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",1964,16
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",14519,-3
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",37999,5
